"api","district","lease_num","lease_name","well_num","well_type","field_num","field_name","field_type","operator_num","operator_name","acres","acre_feet","deliv_mcf","allowable","monthly_allowable","top_allowable","capability","special_daily_amount","special_allowable_code","k2_special_flag","deliverability_mcf","calc_deliv_potential","shut_in_pressure","bottom_hole_pressure","rock_pressure","gas_grav","cond_grav","gor","g1_test","g1_test_gas","_14_b2_flag","_14_b2_code","_14_b2_date","form_lack","exception_g10_test","exception_bhp_test","exception_sip_test","test_type","test_date","effective_date","gas_mcf","condensate_bbls","water_bbls","shut_in_well_head_pressure","gas_gravity","condensate_gravity","flowing_pressure","test_bottom_hole_pressure","test_calc_deliv_potential","gas_condensate_ratio","potential"
"311-33368","01","162603","SBR","123","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,36,"868N","868N",3100,28,100,"Administrative","No",36,0,2100,0,0,0.626,53,245,"04/01/2000","2880","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","03/29/2013",null,36,1,1,0,0.692,50.8,100,0,0,36,0
"311-33349","01","162666","SBR","122","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,95,"558N","558N",3100,18,100,"Administrative","No",95,0,2000,0,0,0.619,0,0,"04/01/2000","2766","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","03/31/2013",null,95,1,1,0,0.692,51,100,0,0,95,0
"311-33348","01","162645","SBR","124","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,54,"465N","465N",3100,15,100,"Administrative","No",54,0,1200,0,0,0.634,56,600,"04/01/2000","2682","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","05/01/2013",null,54,1,1,0,0.649,51.9,100,0,0,54,0
"311-33376","01","162721","SBR","132","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,38,"186N","186N",3100,6,100,"Administrative","No",38,0,1500,0,0,0.684,53.2,122,"04/01/2000","1506","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","03/12/2013",null,38,1,1,0,0.692,50.8,100,0,0,38,0
"311-33374","01","162720","SBR","128","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,292,"4247X","4247X",9052,137,0,null,"No",292,0,1200,0,0,0.68,53.6,18,"04/01/2000","1731","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","05/08/2013",null,292,1,1,0,0.692,51.6,140,0,0,292,0
"311-33375","01","162872","SBR","131","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,12,"248N","248N",3100,8,100,"Administrative","No",12,0,1000,0,0,0.691,56,29,"04/01/2000","1131","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","04/01/2013",null,12,1,1,0,0.692,46.3,100,0,0,12,0
"311-33377","01","162726","SBR","129","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,150,"868X","868X",4650,28,0,null,"No",150,0,1500,0,0,0.68,55.4,21,"04/01/2000","795","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","03/22/2013",null,150,1,2,0,0.691,50.6,120,0,0,150,0
"311-33394","01","163034","SBR","135","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,33,"496N","496N",3100,16,100,"Administrative","No",33,0,2000,0,0,0.649,52,154,"04/01/2000","3939","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","05/18/2013",null,33,1,1,0,0.692,54.7,100,0,0,33,0
"311-33387","01","163038","SBR","140","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,33,"372N","372N",3100,12,100,"Administrative","No",33,0,1400,0,0,0.679,52.4,59,"04/01/2000","2238","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","03/20/2013",null,33,1,1,0,0.691,50.8,100,0,0,33,0
"311-33395","01","163115","SBR","136","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,16,"93N","93N",3100,3,100,"Administrative","No",16,0,1000,0,0,0.648,52,159,"04/01/2000","3015","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","03/09/2013",null,16,1,1,0,0.692,52.1,100,0,0,16,0
"311-33391","01","163045","SBR","144","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,96,"744N","744N",3100,24,100,"Administrative","No",96,0,1100,0,0,0.717,52.7,30,"04/01/2000","2370","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","03/31/2013",null,96,1,1,0,0.692,51,100,0,0,96,0
"311-33380","01","163036","SBR","137","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,52,"1023N","1023N",3100,33,100,"Administrative","No",52,0,1500,0,0,0.629,0,0,"04/01/2000","3729","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","03/22/2013",null,52,8,1,0,0.649,50.6,100,0,0,7,0
"311-33399","01","163179","SBR","145","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,42,"589N","589N",3100,19,100,"Administrative","No",42,0,1000,0,0,0.636,0,0,"04/01/2000","2739","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","03/31/2013",null,42,1,1,0,0.692,51,100,0,0,42,0
"311-33382","01","162869","SBR","138","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,42,"930N","930N",3100,30,100,"Administrative","No",42,0,2000,0,0,0.631,55.9,203,"04/01/2000","3618","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","03/23/2013",null,42,3,1,0,0.649,49.8,100,0,0,14,0
"311-33390","01","163044","SBR","143","PRODUCING","00256500","A.W.P. (OLMOS)","Capacity / 100% AOF","833348","SWIFT ENERGY OPERATING, LLC",40,0,174,"899X","899X",5394,29,0,null,"No",174,0,1500,0,0,0.694,54.9,24,"04/01/2000","2967","N","No 14(B)(2) extension has been granted",null,null,"Regular G-10 Test Required","No Exception","No Test Required","Survey","03/31/2013",null,174,3,57,0,0.691,51,130,0,0,58,0
